customer_id,brand,issue_type,expected_value,recommended_action,reason,primary_issue,owner,playbook,cost_per_action,expected_save_rate,expected_saved_value,net_impact,roi,scenario
CUST-00247,Voltix Home,late_fulfillment + support_escalation,714.5,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 3 promised | 3 support tickets in 90 days,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,171.48,162.48,19.05333333333333,Lean sprint
CUST-00283,Voltix Home,failed_payment + late_fulfillment,302.83,Send payment update link; decline reason: gateway_issue.,1 retries / 4 days past due | Delivered in 7 days vs 5 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,127.1886,125.9386,101.75088,Lean sprint
CUST-00114,Voltix Home,failed_payment + late_fulfillment,299.17,Send payment update link; decline reason: insufficient_funds.,3 retries / 11 days past due | Delivered in 4 days vs 2 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,125.6514,124.4014,100.52112,Lean sprint
CUST-01935,Voltix Home,failed_payment + late_fulfillment,252.23,Send payment update link; decline reason: gateway_issue.,1 retries / 6 days past due | Delivered in 6 days vs 4 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,105.9366,104.6866,84.74928,Lean sprint
CUST-01408,Voltix Home,failed_payment + late_fulfillment,247.99,Send payment update link; decline reason: expired_card.,3 retries / 9 days past due | Delivered in 6 days vs 4 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,104.1558,102.9058,83.32464,Lean sprint
CUST-00239,Voltix Home,failed_payment + discount_margin_leak,235.43,Send payment update link; decline reason: gateway_issue.,1 retries / 5 days past due | 46% discount with 57% churn risk,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,98.8806,97.6306,79.10448,Lean sprint
CUST-00500,Voltix Home,failed_payment + discount_margin_leak,222.5,Send payment update link; decline reason: soft_decline.,2 retries / 15 days past due | 37% discount with 37% churn risk,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,93.45,92.2,74.76,Lean sprint
CUST-01840,Voltix Home,late_fulfillment + discount_margin_leak,384.84,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 3 promised | 55% discount with 54% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,92.3616,83.3616,10.2624,Lean sprint
CUST-02239,Voltix Home,late_fulfillment + discount_margin_leak,384.55,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 2 promised | 44% discount with 63% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,92.292,83.292,10.254666666666667,Lean sprint
CUST-01103,Voltix Home,late_fulfillment + failed_payment,375.05,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 5 promised | 2 retries / 5 days past due,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,90.012,81.012,10.001333333333333,Lean sprint
CUST-02437,Voltix Home,support_escalation + failed_payment,471.76,Add to customer-success callback queue.,3 support tickets in 90 days | 3 retries / 2 days past due,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,94.352,80.352,6.739428571428571,Lean sprint
CUST-00600,Voltix Home,late_fulfillment + discount_margin_leak,364.38,Prioritize shipment follow-up before next renewal.,Delivered in 9 days vs 5 promised | 50% discount with 52% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,87.4512,78.4512,9.7168,Lean sprint
CUST-00042,VitalEdge Wellness,late_fulfillment + support_escalation + discount_margin_leak,344.65,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised | 3 support tickets in 90 days,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,82.716,73.716,9.190666666666665,Lean sprint
CUST-01246,Voltix Home,support_escalation + late_fulfillment,422.18,Add to customer-success callback queue.,3 support tickets in 90 days | Delivered in 5 days vs 3 promised,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,84.436,70.436,6.031142857142858,Lean sprint
CUST-02176,Voltix Home,late_fulfillment + discount_margin_leak,309.9,Prioritize shipment follow-up before next renewal.,Delivered in 4 days vs 2 promised | 46% discount with 47% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,74.37599999999999,65.37599999999999,8.264,Lean sprint
CUST-02313,Voltix Home,support_escalation + late_fulfillment,388.28,Add to customer-success callback queue.,3 support tickets in 90 days | Delivered in 4 days vs 2 promised,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,77.656,63.656000000000006,5.546857142857143,Lean sprint
CUST-00953,Voltix Home,late_fulfillment + discount_margin_leak,291.19,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 3 promised | 51% discount with 55% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,69.8856,60.8856,7.765066666666666,Lean sprint
CUST-01877,Voltix Home,support_escalation,358.68,Add to customer-success callback queue.,3 support tickets in 90 days,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,71.736,57.736000000000004,5.1240000000000006,Lean sprint
CUST-01959,Voltix Home,support_escalation + discount_margin_leak,341.85,Add to customer-success callback queue.,5 support tickets in 90 days | 36% discount with 69% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,68.37,54.370000000000005,4.883571428571429,Lean sprint
CUST-00137,Voltix Home,discount_margin_leak,162.31,Move from blanket discount to targeted retention offer.,41% discount with 55% churn risk,discount_margin_leak,Growth,Offer ladder instead of blanket discounts,3.5,0.16,25.9696,22.4696,7.419885714285714,Lean sprint
CUST-01130,Voltix Home,discount_margin_leak,141.74,Move from blanket discount to targeted retention offer.,41% discount with 44% churn risk,discount_margin_leak,Growth,Offer ladder instead of blanket discounts,3.5,0.16,22.678400000000003,19.178400000000003,6.479542857142858,Lean sprint
CUST-00064,Voltix Home,discount_margin_leak,140.98,Move from blanket discount to targeted retention offer.,55% discount with 33% churn risk,discount_margin_leak,Growth,Offer ladder instead of blanket discounts,3.5,0.16,22.5568,19.0568,6.4448,Lean sprint
CUST-00247,Voltix Home,late_fulfillment + support_escalation,714.5,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 3 promised | 3 support tickets in 90 days,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,171.48,162.48,19.05333333333333,Balanced week
CUST-00283,Voltix Home,failed_payment + late_fulfillment,302.83,Send payment update link; decline reason: gateway_issue.,1 retries / 4 days past due | Delivered in 7 days vs 5 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,127.1886,125.9386,101.75088,Balanced week
CUST-00114,Voltix Home,failed_payment + late_fulfillment,299.17,Send payment update link; decline reason: insufficient_funds.,3 retries / 11 days past due | Delivered in 4 days vs 2 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,125.6514,124.4014,100.52112,Balanced week
CUST-01935,Voltix Home,failed_payment + late_fulfillment,252.23,Send payment update link; decline reason: gateway_issue.,1 retries / 6 days past due | Delivered in 6 days vs 4 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,105.9366,104.6866,84.74928,Balanced week
CUST-01408,Voltix Home,failed_payment + late_fulfillment,247.99,Send payment update link; decline reason: expired_card.,3 retries / 9 days past due | Delivered in 6 days vs 4 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,104.1558,102.9058,83.32464,Balanced week
CUST-00239,Voltix Home,failed_payment + discount_margin_leak,235.43,Send payment update link; decline reason: gateway_issue.,1 retries / 5 days past due | 46% discount with 57% churn risk,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,98.8806,97.6306,79.10448,Balanced week
CUST-00500,Voltix Home,failed_payment + discount_margin_leak,222.5,Send payment update link; decline reason: soft_decline.,2 retries / 15 days past due | 37% discount with 37% churn risk,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,93.45,92.2,74.76,Balanced week
CUST-01818,Voltix Home,failed_payment,217.95,Send payment update link; decline reason: authentication_required.,1 retries / 17 days past due,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,91.53899999999999,90.28899999999999,73.23119999999999,Balanced week
CUST-01680,Voltix Home,failed_payment + discount_margin_leak,203.58,Send payment update link; decline reason: soft_decline.,3 retries / 6 days past due | 50% discount with 54% churn risk,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,85.5036,84.2536,68.40288000000001,Balanced week
CUST-01840,Voltix Home,late_fulfillment + discount_margin_leak,384.84,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 3 promised | 55% discount with 54% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,92.3616,83.3616,10.2624,Balanced week
CUST-02239,Voltix Home,late_fulfillment + discount_margin_leak,384.55,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 2 promised | 44% discount with 63% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,92.292,83.292,10.254666666666667,Balanced week
CUST-01103,Voltix Home,late_fulfillment + failed_payment,375.05,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 5 promised | 2 retries / 5 days past due,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,90.012,81.012,10.001333333333333,Balanced week
CUST-02437,Voltix Home,support_escalation + failed_payment,471.76,Add to customer-success callback queue.,3 support tickets in 90 days | 3 retries / 2 days past due,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,94.352,80.352,6.739428571428571,Balanced week
CUST-00463,Voltix Home,failed_payment,193.78,Send payment update link; decline reason: insufficient_funds.,3 retries / 4 days past due,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,81.38759999999999,80.13759999999999,65.11008,Balanced week
CUST-00600,Voltix Home,late_fulfillment + discount_margin_leak,364.38,Prioritize shipment follow-up before next renewal.,Delivered in 9 days vs 5 promised | 50% discount with 52% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,87.4512,78.4512,9.7168,Balanced week
CUST-00042,VitalEdge Wellness,late_fulfillment + support_escalation + discount_margin_leak,344.65,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised | 3 support tickets in 90 days,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,82.716,73.716,9.190666666666665,Balanced week
CUST-02166,VitalEdge Wellness,failed_payment + late_fulfillment,172.34,Send payment update link; decline reason: insufficient_funds.,3 retries / 7 days past due | Delivered in 5 days vs 3 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,72.3828,71.1328,57.906240000000004,Balanced week
CUST-01246,Voltix Home,support_escalation + late_fulfillment,422.18,Add to customer-success callback queue.,3 support tickets in 90 days | Delivered in 5 days vs 3 promised,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,84.436,70.436,6.031142857142858,Balanced week
CUST-00436,VitalEdge Wellness,failed_payment + late_fulfillment,165.78,Send payment update link; decline reason: authentication_required.,1 retries / 6 days past due | Delivered in 7 days vs 4 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,69.6276,68.3776,55.70208,Balanced week
CUST-02176,Voltix Home,late_fulfillment + discount_margin_leak,309.9,Prioritize shipment follow-up before next renewal.,Delivered in 4 days vs 2 promised | 46% discount with 47% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,74.37599999999999,65.37599999999999,8.264,Balanced week
CUST-00615,Voltix Home,failed_payment,155.0,Send payment update link; decline reason: expired_card.,1 retries / 9 days past due,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,65.1,63.849999999999994,52.08,Balanced week
CUST-02313,Voltix Home,support_escalation + late_fulfillment,388.28,Add to customer-success callback queue.,3 support tickets in 90 days | Delivered in 4 days vs 2 promised,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,77.656,63.656000000000006,5.546857142857143,Balanced week
CUST-00953,Voltix Home,late_fulfillment + discount_margin_leak,291.19,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 3 promised | 51% discount with 55% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,69.8856,60.8856,7.765066666666666,Balanced week
CUST-01877,Voltix Home,support_escalation,358.68,Add to customer-success callback queue.,3 support tickets in 90 days,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,71.736,57.736000000000004,5.1240000000000006,Balanced week
CUST-01959,Voltix Home,support_escalation + discount_margin_leak,341.85,Add to customer-success callback queue.,5 support tickets in 90 days | 36% discount with 69% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,68.37,54.370000000000005,4.883571428571429,Balanced week
CUST-02486,Voltix Home,late_fulfillment + failed_payment,244.93,Prioritize shipment follow-up before next renewal.,Delivered in 10 days vs 4 promised | 3 retries / 12 days past due,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,58.7832,49.7832,6.531466666666667,Balanced week
CUST-01436,Voltix Home,late_fulfillment,232.37,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 2 promised,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,55.7688,46.7688,6.196533333333333,Balanced week
CUST-02259,Voltix Home,support_escalation + discount_margin_leak,293.66,Add to customer-success callback queue.,3 support tickets in 90 days | 41% discount with 47% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,58.732000000000006,44.732000000000006,4.195142857142858,Balanced week
CUST-00344,Voltix Home,late_fulfillment + discount_margin_leak,222.83,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 4 promised | 39% discount with 39% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,53.4792,44.4792,5.9421333333333335,Balanced week
CUST-01583,Voltix Home,support_escalation + discount_margin_leak,287.91,Add to customer-success callback queue.,3 support tickets in 90 days | 43% discount with 51% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,57.58200000000001,43.58200000000001,4.113,Balanced week
CUST-02005,Voltix Home,support_escalation + discount_margin_leak,287.9,Add to customer-success callback queue.,3 support tickets in 90 days | 38% discount with 38% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,57.58,43.58,4.112857142857143,Balanced week
CUST-01272,Voltix Home,late_fulfillment + failed_payment,217.71,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised | 3 retries / 15 days past due,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,52.2504,43.2504,5.8056,Balanced week
CUST-01177,Voltix Home,late_fulfillment + discount_margin_leak,211.87,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 4 promised | 49% discount with 32% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,50.8488,41.8488,5.649866666666666,Balanced week
CUST-01370,Voltix Home,support_escalation + discount_margin_leak,273.87,Add to customer-success callback queue.,4 support tickets in 90 days | 36% discount with 51% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,54.774,40.774,3.9124285714285714,Balanced week
CUST-01948,VitalEdge Wellness,support_escalation + discount_margin_leak,270.22,Add to customer-success callback queue.,5 support tickets in 90 days | 50% discount with 67% churn risk,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,54.04400000000001,40.04400000000001,3.860285714285715,Balanced week
CUST-01112,Voltix Home,support_escalation + late_fulfillment,268.64,Add to customer-success callback queue.,3 support tickets in 90 days | Delivered in 6 days vs 3 promised,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,53.728,39.728,3.8377142857142856,Balanced week
CUST-01673,Voltix Home,support_escalation,252.83,Add to customer-success callback queue.,4 support tickets in 90 days,support_escalation,Customer Success,Priority callback for high-value subscribers,14.0,0.2,50.566,36.566,3.611857142857143,Balanced week
CUST-01259,Voltix Home,late_fulfillment + failed_payment,183.54,Prioritize shipment follow-up before next renewal.,Delivered in 7 days vs 4 promised | 3 retries / 15 days past due,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,44.0496,35.0496,4.8944,Balanced week
CUST-01781,Northstar Apparel,late_fulfillment + discount_margin_leak,177.86,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised | 46% discount with 49% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,42.6864,33.6864,4.742933333333333,Balanced week
CUST-00480,Voltix Home,late_fulfillment + discount_margin_leak,172.7,Prioritize shipment follow-up before next renewal.,Delivered in 8 days vs 5 promised | 42% discount with 32% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,41.44799999999999,32.44799999999999,4.605333333333332,Balanced week
CUST-00439,Voltix Home,late_fulfillment,172.19,Prioritize shipment follow-up before next renewal.,Delivered in 5 days vs 3 promised,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,41.3256,32.3256,4.591733333333334,Balanced week
CUST-00756,Northstar Apparel,late_fulfillment + discount_margin_leak,171.34,Prioritize shipment follow-up before next renewal.,Delivered in 9 days vs 5 promised | 46% discount with 42% churn risk,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,41.1216,32.1216,4.569066666666667,Balanced week
CUST-00137,Voltix Home,discount_margin_leak,162.31,Move from blanket discount to targeted retention offer.,41% discount with 55% churn risk,discount_margin_leak,Growth,Offer ladder instead of blanket discounts,3.5,0.16,25.9696,22.4696,7.419885714285714,Balanced week
CUST-01130,Voltix Home,discount_margin_leak,141.74,Move from blanket discount to targeted retention offer.,41% discount with 44% churn risk,discount_margin_leak,Growth,Offer ladder instead of blanket discounts,3.5,0.16,22.678400000000003,19.178400000000003,6.479542857142858,Balanced week
CUST-00064,Voltix Home,discount_margin_leak,140.98,Move from blanket discount to targeted retention offer.,55% discount with 33% churn risk,discount_margin_leak,Growth,Offer ladder instead of blanket discounts,3.5,0.16,22.5568,19.0568,6.4448,Balanced week
CUST-00247,Voltix Home,late_fulfillment + support_escalation,714.5,Prioritize shipment follow-up before next renewal.,Delivered in 6 days vs 3 promised | 3 support tickets in 90 days,late_fulfillment,Operations,Late-shipment rescue workflow,9.0,0.24,171.48,162.48,19.05333333333333,Full recovery push
CUST-00283,Voltix Home,failed_payment + late_fulfillment,302.83,Send payment update link; decline reason: gateway_issue.,1 retries / 4 days past due | Delivered in 7 days vs 5 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,127.1886,125.9386,101.75088,Full recovery push
CUST-00114,Voltix Home,failed_payment + late_fulfillment,299.17,Send payment update link; decline reason: insufficient_funds.,3 retries / 11 days past due | Delivered in 4 days vs 2 promised,failed_payment,Billing Ops,Smart dunning and payment-link recovery,1.25,0.42,125.6514,124.4014,100.52112,Full recovery push
